Kapitel.Nummer,Identitet,Enhet,Artiklar,Mtrl-summa,Tim-summa,UE-summa,Beräknat pris (kr),Senast uppdaterad,Källa-wbr
17.022,Skjutdörrsgarderob B=1250,st,"S4.3901012 2-dörrars garderobsfront B=1250 (mtrl 6438, tim 2.2, UE 0, åtgång 1, spill 1)
S4.3911110 Gavelskiva (mtrl 985, tim 0.22, UE 0, åtgång 1, spill 1)
S4.3911112 Bärlist inklusive täcklist (mtrl 149, tim 0.17, UE 0, åtgång 1.2, spill 1)
S4.3911115 Hängskena (mtrl 202, tim 0.06, UE 0, åtgång 3, spill 1)
S4.3911120 Konsol inkl. konsolavslut (mtrl 91, tim 0.06, UE 0, åtgång 19, spill 1)
S4.3911160 Trådhylla B=600 (mtrl 136, tim 0.1, UE 0, åtgång 4, spill 1)
S4.3911460 Trådback B=600 H=85 (mtrl 433, tim 0.13, UE 0, åtgång 1, spill 1)
S4.3911465 Trådback B=600 H=185 (mtrl 467, tim 0.13, UE 0, åtgång 5, spill 1)
S4.3911560 Utdragbar skohylla B=600 (mtrl 530, tim 0.1, UE 0, åtgång 2, spill 1)
S4.3911360 Klädstång B=1200 (mtrl 239, tim 0.07, UE 0, åtgång 1, spill 1)",14547.8,5.39,0,19564,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
20.002,Underentreprenader EL,st,"A7.1102010 El-installationer (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1102020 Svagström-tele (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1102030 Datainstallationer (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1102040 Larm och säkerhet (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",0,0,0,0,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.001,Klinker + sättbruk på golv rivs,m²,"R1.1681000 Klinker + sättbruk rivs (mtrl 0, tim 0.32, UE 0, åtgång 1, spill 1)",0,0.32,0,298,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.008,Tamburdörr 10x21 rivs,st,"R5.2112100 1000x2100 tamburdörr rivs (mtrl 0, tim 0.6, UE 0, åtgång 1, spill 1)",0,0.6,0,558,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.015,Klinker på golv,m²,"Q1.4121500 Klinkerplattor, 300x300 standard (mtrl 646, tim 1.2, UE 0, åtgång 1, spill 1.06)
Q1.4135000 Fuktskydd typ tätduk (mtrl 0, tim 0, UE 408, åtgång 1, spill 1)
Q1.4421300 Klinkersockel H=100 (mtrl 64.6, tim 0.3, UE 0, åtgång 1, spill 1)",749.36,1.5,408,2593,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.054,Tamburdörr 10x21 40 dB,st,"S3.1001000 10x21 björkfanerad 40dB (mtrl 7383, tim 1.7, UE 0, åtgång 1, spill 1)
S3.1202500 Tgg för dörrkikare (mtrl 246, tim 0, UE 0, åtgång 1, spill 1)
S6.1040100 Smyglist, 8x27 (mtrl 22, tim 0.06, UE 0, åtgång 5.4, spill 1)
S6.1030200 Drevning 2-sidig med glasull (mtrl 9, tim 0.12, UE 0, åtgång 6.2, spill 1.06)
L5.2110000 Akustisk brandisolerande fogmassa (mtrl 49.3, tim 0.09, UE 0, åtgång 12.4, spill 1)
H5.1731300 Foder, 12x43 vitmålad (mtrl 25.3, tim 0.1, UE 0, åtgång 5.4, spill 1.1)
S5.1111000 Cylinder inkl tillbehör (mtrl 662, tim 0.17, UE 0, åtgång 1, spill 1)
S3.1201800 Dörrspärr (mtrl 752, tim 0.15, UE 0, åtgång 1, spill 1)
S5.1121000 Trycke av metall (mtrl 265, tim 0.11, UE 0, åtgång 1, spill 1)
S3.1201000 Ringklocka för tamburdörr (mtrl 402, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1191000 Dörrstoppare med distans (mtrl 104, tim 0.11, UE 0, åtgång 1, spill 1)",10753.55,5.07,0,15472,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.025,Klädkammarinredning,st,"Y3.3091100 1 hyllplan + konsol + klädstång (mtrl 292, tim 0.8, UE 0, åtgång 2, spill 1)",584,1.6,0,2072,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.001,Komplett kök rivs,st,"R5.2411600 16 skåp + spis + kylskåp rivs (mtrl 0, tim 6.56, UE 0, åtgång 1, spill 1)",0,6.56,0,6101,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.010,Kakelplattor på vägg rivs,m²,"R2.1302000 Kakelplattor rivs (mtrl 0, tim 0.2, UE 0, åtgång 1, spill 1)",0,0.2,0,186,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.011,"Köksstomme H=2278, luckor vitmålade",st,"S4.1120200 Handduksskåp B=200 (mtrl 1252, tim 0.85, UE 0, åtgång 1, spill 1)
S4.1130400 Lådfackskåp B=400 (mtrl 5657, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1190106 Bänkskåp-3 lådor B=600 (mtrl 4618, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1191106 Spishällskåp-3 lådor B=600 (mtrl 4321, tim 0.95, UE 0, åtgång 1, spill 1)
S4.1192106 Diskbänkskåp-1 låda B=600 (mtrl 3643, tim 0.95, UE 0, åtgång 1, spill 1)
S4.2400400 Väggskåp B=400 (mtrl 1090, tim 0.85, UE 0, åtgång 2, spill 1)
S4.2430600 Fläktskåp B=600 (mtrl 1520, tim 0.85, UE 0, åtgång 1, spill 1)
S4.2400800 Väggskåp B=800 (mtrl 1773, tim 0.9, UE 0, åtgång 2, spill 1)
S4.2450600 Skåp över kyl-frys B=600 (mtrl 1387, tim 0.9, UE 0, åtgång 1, spill 1)
S4.3460600 Skafferiskåp B=600 (mtrl 7910, tim 1.1, UE 0, åtgång 1, spill 1)
S4.3490116 Inbyggnadsskåp-2 lådor  B=600 (mtrl 5574, tim 1.1, UE 0, åtgång 1, spill 1)
S4.3801160 Täcksida bänksk. 585x870 vitmålad (mtrl 503, tim 0.17, UE 0, åtgång 1, spill 1)
S4.3802190 Täcksida väggsk. 350x864 vitmålad (mtrl 385, tim 0.17, UE 0, åtgång 1, spill 1)
S4.3803122 Täcksida högsk. 585x2112 vitmålad (mtrl 863, tim 0.2, UE 0, åtgång 1, spill 1)
S4.3806054 Passbit vitmålad B=54 (mtrl 246, tim 0.11, UE 0, åtgång 4.1, spill 1.1)
S4.8010000 Rostfritt bygelhandtag (mtrl 50, tim 0.15, UE 0, åtgång 22, spill 1)
Y4.2010400 Bänkskiva av PP L=400 (mtrl 315, tim 0.45, UE 0, åtgång 1, spill 1)
Y4.4002000 Diskbänk L=2000 (mtrl 7188, tim 0.55, UE 0, åtgång 1, spill 1)
Q1.4327000 Kakelstänkskydd, H=450 vita (mtrl 92, tim 0.8, UE 0, åtgång 3.6, spill 1.05)
H5.1736100 Kakellist, 16x55 vitmålad (mtrl 70.1, tim 0.14, UE 0, åtgång 3.6, spill 1.1)
S7.1101500 Inklädnad ök skåp H=150 (mtrl 50.9, tim 0.36, UE 0, åtgång 5.8, spill 1.1)",54021.56,22.86,0,75284,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
